---,Type,Montage,PlayRate,Section,MinDis,MaxDis,Extent
1,"Climb","AnimMontage'/Game/Assets/Parkour_Montage/WallRunClimb_Montage.WallRunClimb_Montage'","2.000000","None","30.000000","100.000000","580.000000"
2,"Fall","AnimMontage'/Game/Assets/Parkour_Montage/Fall_Roll_Montage.Fall_Roll_Montage'","1.500000","None","500.000000","2000.000000","2000.000000"
3,"Short","AnimMontage'/Game/Assets/Parkour_Montage/SingleSlider_Montage.SingleSlider_Montage'","1.250000","None","200.000000","300.000000","25.000000"
4,"Normal","AnimMontage'/Game/Assets/Parkour_Montage/Normal_HandSpring_To_Roll_NormalVault_Montage.Normal_HandSpring_To_Roll_NormalVault_Montage'","1.250000","None","380.000000","600.000000","340.000000"
5,"Normal","AnimMontage'/Game/Assets/Parkour_Montage/Normal_Roll_NormalVault_Montage.Normal_Roll_NormalVault_Montage'","1.250000","None","250.000000","380.000000","340.000000"
6,"Normal","AnimMontage'/Game/Assets/Parkour_Montage/Normal_Railflip_Vault_NormalVault_Montage.Normal_Railflip_Vault_NormalVault_Montage'","1.250000","None","150.000000","250.000000","340.000000"
7,"Normal","AnimMontage'/Game/Assets/Parkour_Montage/Normal_Spin_Bicycle_NormalVault_Montage.Normal_Spin_Bicycle_NormalVault_Montage'","1.250000","None","80.000000","150.000000","340.000000"
8,"Short","AnimMontage'/Game/Assets/Parkour_Montage/Short_HandSpring_To_Roll_ShortlVault_Montage.Short_HandSpring_To_Roll_ShortlVault_Montage'","1.250000","None","400.000000","500.000000","80.000000"
9,"Short","AnimMontage'/Game/Assets/Parkour_Montage/Short_Flip_And_Roll_Montage.Short_Flip_And_Roll_Montage'","1.250000","None","200.000000","350.000000","80.000000"
10,"Short","AnimMontage'/Game/Assets/Parkour_Montage/Short_Reverse_Vault_ShortVault_Montage.Short_Reverse_Vault_ShortVault_Montage'","1.250000","None","150.000000","200.000000","80.000000"
11,"Short","AnimMontage'/Game/Assets/Parkour_Montage/Short_Split_Vault_ShortVault_Montage.Short_Split_Vault_ShortVault_Montage'","1.250000","None","80.000000","150.000000","80.000000"
12,"Wall","AnimMontage'/Game/Assets/Parkour_Montage/Wall_HandSpring_To_Roll_ShortWalllVault_Montage.Wall_HandSpring_To_Roll_ShortWalllVault_Montage'","1.250000","None","350.000000","390.000000","40.000000"
13,"Wall","AnimMontage'/Game/Assets/Parkour_Montage/Wall_Fold_Flip_ShortWallVault_Montage.Wall_Fold_Flip_ShortWallVault_Montage'","1.000000","None","200.000000","250.000000","40.000000"
14,"Wall","AnimMontage'/Game/Assets/Parkour_Montage/Wall_Jump_Wheel_ShortWall_Montage.Wall_Jump_Wheel_ShortWall_Montage'","1.000000","Start","150.000000","200.000000","40.000000"
15,"Wall","AnimMontage'/Game/Assets/Parkour_Montage/Wall_Double_Trick_Montage.Wall_Double_Trick_Montage'","1.000000","Start","50.000000","150.000000","40.000000"
